id,gene_name,primer_0,primer_1,primer_2,primer_3,primer_4,primer_5,primer_6,primer_7,primer_8,primer_9,primer_10,primer_11,primer_12,primer_13,primer_14,primer_15,primer_16,primer_17,primer_18,primer_19,primer_20,primer_21,primer_22,primer_23,primer_24,gene_sum
0,IGKV1-110*01,,,,,,,,,,,,,,,,,,,,,,,,,,
1,IGKV1-110*02,,,,,,,,,,,,,,,,,,,,,,,,,,
2,IGKV1-117*01,,,,,,,,,,,,,,,,,,,,,,,,,,
3,IGKV1-117*02,,,,,,,,,,,,,,,,,,,,,,,,,,
4,IGKV1-122*01,,,,,,,,,,,,,,,,,,,,,,,,,,
5,IGKV1-132*01,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IGKV1-133*01,,,,,,,,,,,,,,,,,,,,,,,,,,
7,IGKV1-135*01,,,,,,,,,,,,,,,,,,,,,,,,,,
8,IGKV1-88*01,,,,,,,,,,,,,,,,,,,,,,,,,,
9,IGKV1-99*01,,,,,,,,,,,,,,,,,,,,,,,,,,
10,IGKV10-94*01,,,,,,,,,,,,,,,,,,,,,,,,,,
11,IGKV10-94*02,,,,,,,,,,,,,,,,,,,,,,,,,,
12,IGKV10-94*03,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IGKV10-94*04,,,,,,,,,,,,,,,,,,,,,,,,,,
14,IGKV10-94*05,,,,,,,,,,,,,,,,,,,,,,,,,,
15,IGKV10-94*06,,,,,,,,,,,,,,,,,,,,,,,,,,
16,IGKV10-94*07,,,,,,,,,,,,,,,,,,,,,,,,,,
17,IGKV10-94*08,,,,,,,,,,,,,,,,,,,,,,,,,,
18,IGKV10-95*01,,,,,,,,,,,,,,,,,,,,,,,,,,
19,IGKV10-96*01,,,,,,,,,,,,,,,,,,,,,,,,,,
20,IGKV10-96*02,,,,,,,,,,,,,,,,,,,,,,,,,,
21,IGKV10-96*03,,,,,,,,,,,,,,,,,,,,,,,,,,
22,IGKV10-96*04,,,,,,,,,,,,,,,,,,,,,,,,,,
23,IGKV11-125*01,,,,,,,,,,,,,,,,,,,,,,,,,,
24,IGKV12-38*01,,,,,,,,,,,,,,,,,,,,,,,,,,
25,IGKV12-41*01,,,,,,,,,,,,,,,,,,,,,,,,,,
26,IGKV12-41*02,,,,,,,,,,,,,,,,,,,,,,,,,,
27,IGKV12-44*01,,,,,,,,,,,,,,,,,,,,,,,,,,
28,IGKV12-46*01,,,,,,,,,,,,,,,,,,,,,,,,,,
29,IGKV12-89*01,,,,,,,,,,,,,,,,,,,,,,,,,,
30,IGKV12-98*01,,,,,,,,,,,,,,,,,,,,,,,,,,
31,IGKV12-e*01,,,,,,,,,,,,,,,,,,,,,,,,,,
32,IGKV13-84*01,,,,,,,,,,,,,,,,,,,,,,,,,,
33,IGKV13-85*01,,,,,,,,,,,,,,,,,,,,,,,,,,
34,IGKV13-85*02,,,,,,,,,,,,,,,,,,,,,,,,,,
35,IGKV13-85*03,,,,,,,,,,,,,,,,,,,,,,,,,,
36,IGKV14-100*01,,,,,,,,,,,,,,,,,,,,,,,,,,
